"","Date","Day","Latitude","Longitude","StartDateTime","EndDateTime"
"138",2015-02-15,"Sunday",45.378163,-75.75213,2015-02-15 08:00:00,2015-02-15 17:00:00
"139",2015-02-16,"Monday",45.378163,-75.75213,2015-02-16 08:00:00,2015-02-16 17:00:00
"140",2015-02-17,"Tuesday",45.378163,-75.75213,2015-02-17 08:00:00,2015-02-17 17:00:00
"141",2015-02-18,"Wednesday",45.378163,-75.75213,2015-02-18 08:00:00,2015-02-18 17:00:00
"142",2015-02-19,"Thursday",45.378163,-75.75213,2015-02-19 08:00:00,2015-02-19 17:00:00
"143",2015-02-20,"Friday",45.378163,-75.75213,2015-02-20 08:00:00,2015-02-20 17:00:00
"144",2015-02-21,"Saturday",45.378163,-75.75213,2015-02-21 08:00:00,2015-02-21 17:00:00
"145",2015-02-22,"Sunday",45.378163,-75.75213,2015-02-22 08:00:00,2015-02-22 17:00:00
"146",2015-02-23,"Monday",45.378163,-75.75213,2015-02-23 08:00:00,2015-02-23 17:00:00
"147",2015-02-24,"Tuesday",45.378163,-75.75213,2015-02-24 08:00:00,2015-02-24 17:00:00
"148",2015-02-25,"Wednesday",45.378163,-75.75213,2015-02-25 08:00:00,2015-02-25 17:00:00
"149",2015-02-26,"Thursday",45.378163,-75.75213,2015-02-26 08:00:00,2015-02-26 17:00:00
"150",2015-02-27,"Friday",45.378163,-75.75213,2015-02-27 08:00:00,2015-02-27 17:00:00
"151",2015-02-28,"Saturday",45.378163,-75.75213,2015-02-28 08:00:00,2015-02-28 17:00:00
"152",2015-03-01,"Sunday",45.378163,-75.75213,2015-03-01 08:00:00,2015-03-01 17:00:00
"153",2015-03-02,"Monday",45.378163,-75.75213,2015-03-02 08:00:00,2015-03-02 17:00:00
"154",2015-03-03,"Tuesday",45.378163,-75.75213,2015-03-03 08:00:00,2015-03-03 17:00:00
"155",2015-03-04,"Wednesday",45.378163,-75.75213,2015-03-04 08:00:00,2015-03-04 17:00:00
"156",2015-03-05,"Thursday",45.378163,-75.75213,2015-03-05 08:00:00,2015-03-05 17:00:00
"157",2015-03-06,"Friday",45.378163,-75.75213,2015-03-06 08:00:00,2015-03-06 17:00:00
"158",2015-03-07,"Saturday",45.378163,-75.75213,2015-03-07 08:00:00,2015-03-07 17:00:00
"159",2015-03-08,"Sunday",45.378163,-75.75213,2015-03-08 08:00:00,2015-03-08 17:00:00
"160",2015-03-09,"Monday",45.378163,-75.75213,2015-03-09 08:00:00,2015-03-09 17:00:00
"161",2015-03-10,"Tuesday",45.378163,-75.75213,2015-03-10 08:00:00,2015-03-10 17:00:00
"162",2015-03-11,"Wednesday",45.378163,-75.75213,2015-03-11 08:00:00,2015-03-11 17:00:00
"163",2015-03-12,"Thursday",45.378163,-75.75213,2015-03-12 08:00:00,2015-03-12 17:00:00
"164",2015-03-13,"Friday",45.378163,-75.75213,2015-03-13 08:00:00,2015-03-13 17:00:00
"165",2015-03-14,"Saturday",45.378163,-75.75213,2015-03-14 08:00:00,2015-03-14 17:00:00
"166",2015-03-15,"Sunday",45.378163,-75.75213,2015-03-15 08:00:00,2015-03-15 17:00:00
"167",2015-03-16,"Monday",45.378163,-75.75213,2015-03-16 08:00:00,2015-03-16 17:00:00
"168",2015-03-17,"Tuesday",45.378163,-75.75213,2015-03-17 08:00:00,2015-03-17 17:00:00
"169",2015-03-18,"Wednesday",45.378163,-75.75213,2015-03-18 08:00:00,2015-03-18 17:00:00
"170",2015-03-19,"Thursday",45.378163,-75.75213,2015-03-19 08:00:00,2015-03-19 17:00:00
"171",2015-03-20,"Friday",45.378163,-75.75213,2015-03-20 08:00:00,2015-03-20 17:00:00
"172",2015-03-21,"Saturday",45.378163,-75.75213,2015-03-21 08:00:00,2015-03-21 17:00:00
"173",2015-03-22,"Sunday",45.378163,-75.75213,2015-03-22 08:00:00,2015-03-22 17:00:00
